582,Jigoku Benten,931,925,2019
583,Jigoro,452,346,2007
584,Jigra,860,830,2017
585,Jinbe,528,416,2009
586,Jizo,951,951,2019
587,Jo,948,947,2019
588,Jobo,232,150,2002
589,John,450,344,2007
590,John Giant,96,45,1999
591,Johnny,42,19,1998
592,Jorge,353,248,2005
593,Jorul,866,836,2017
594,Joy Boy,628,548,2011
595,Jozu,234,151,2002
596,Judy,499,393,2008
597,Jujiro,926,918,2018
598,Juki,977,982,2020
599,Julius,578,489,2010
600,Junan,611,530,2011
601,Kabu,710,640,2013
602,Kadar,622,541,2011
603,Kagero,920,909,2018
604,Kagikko,64,,1998
605,Kaidou,795,739,2015
606,Kairen,608,527,2010
607,Kairiken,498,392,2008
608,Kairo Kureyo,535,437,2009
609,Kaku,323,230,2004
611,Kakukaku,334,237,2004
612,Kakunoshin,926,918,2018
610,Kakuu,927,919,2018
613,Kalgara,286,187,2006
614,Kalifa,323,230,2004
615,Kamakiri,249,163,2002
616,Kamekichi,926,918,2018
617,Kamijiro,914,901,2018
618,Kaneshiro,72,32,1999
619,Kanezenny,398,278,2006
620,Kappa,167,105,2001
621,Karasu,593,510,2010
622,Karma,553,467,2009
623,Karoo,109,65,1999
624,Kasa,594,511,2010
625,Kasagoba,607,527,2010
626,Kashigami,287,187,2003
627,Kashii,377,265,2005
628,Katsuzo,960,960,2019
629,Kawamatsu,924,916,2018
630,Kaya,23,9,1998
631,Kazekage,931,925,2019
632,Kazenbo,1030,,2021
633,Kebi,164,100,2001
634,Kechatch,553,,2009
635,Keith,809,759,2015
636,Kelly Funk,704,633,2013
637,Kentauros,180,111,2001
638,Kerville,379,267,2005
639,Kibagaeru,306,208,2004
640,Kibin,594,475,2010
641,Kiev,325,231,2004
642,Kikipatsu,925,917,2018
643,Kiku,515,409,2008
644,Kikunojo,913,899,2018
645,Kikyo,514,408,2008
646,Killer,498,392,2008
647,Kimel,552,461,2009
649,Kinbo,917,904,2018
650,Kinderella,261,778,2003
648,Kin'emon,656,580,2012
651,King,925,918,2018
652,Kinga,570,484,2010
653,Kingbaum,836,797,2016
654,Kingdew,562,461,2009
655,Kinoko,536,437,2009
656,Kirinkodanuki,22,18,1998
657,Kirintauros,658,582,2012
658,Kisegawa,929,922,2019
659,Kitton,523,418,2008
660,Kiwi,329,233,2004
661,Koala,622,541,2011
662,Kobe,929,922,2019
663,Koby,2,1,1997
664,Koda,285,,2003
665,Koito,930,923,2019
666,Kojuro,926,918,2018
667,Kokoro,322,229,2004
668,Komachiyo,910,892,2018
669,Komane,903,879,2018
670,Konbu,657,582,2012
671,Kong,0,0,2009
672,Kop,325,231,2004
673,Kotatsu,552,461,2009
674,Kotetsu,912,897,2018
675,Kotori,261,171,2003
676,Koushirou,5,19,1997
677,Koyama,960,960,2019
678,Koza,163,93,2001
679,Koze,96,48,1999
680,Kozuki Hiyori,909,892,2018
681,Kozuki Momonosuke,684,609,2012
682,Kozuki Oden,920,910,2016
683,Kozuki Sukiyaki,911,894,2018
684,Kozuki Toki,920,910,2018
